"fx_trade_id","trade_date","client_id","currency_from","currency_to","amount_from","amount_to","exchange_rate","trade_status"
1,"2024-01-15",3,"CZK","EUR",100000,4081.63,24.50,"completed"
2,"2024-01-18",7,"CZK","EUR",200000,8130.08,24.60,"completed"
3,"2024-01-20",12,"CZK","EUR",250000,10288.07,24.30,"completed"
4,"2024-02-01",5,"CZK","EUR",150000,6072.87,24.70,"completed"
5,"2024-02-05",18,"CZK","EUR",50000,2036.66,24.55,"completed"
6,"2024-02-10",9,"EUR","CZK",5000,123456.79,0.0405,"completed"
7,"2024-02-15",21,"CZK","USD",100000,4484.30,22.30,"completed"
8,"2024-02-18",14,"CZK","USD",75000,3393.67,22.10,"completed"
9,"2024-02-20",25,"CZK","USD",50000,2232.14,22.40,"completed"
10,"2024-02-22",30,"USD","CZK",3000,66666.67,0.045,"completed"
11,"2024-03-01",11,"CZK","EUR",120000,4918.03,24.40,"completed"
12,"2024-03-04",6,"CZK","EUR",180000,7394.25,24.35,"completed"
13,"2024-03-10",4,"CZK","EUR",90000,3658.54,24.60,"completed"
14,"2024-03-15",17,"CZK","USD",60000,2666.67,22.50,"completed"
15,"2024-03-20",8,"CZK","EUR",110000,4480.65,24.55,"pending"
16,"2024-03-20",9,,,,,,
