"client_id","client_name","client_type","country_code","onboarding_date","kyc_status"
1,"Alpha Trade CZ","company","CZ","2021-03-10","complete"
2,"Beta Logistics SK","company","SK","2022-01-15","complete"
3,"Gamma Retail CZ","company","CZ","2020-07-21","incomplete"
4,"Delta Consulting AT","company","AT","2023-04-11","complete"
5,"Epsilon Market DE","company","DE","2022-09-30","complete"
6,"Zeta Import CZ","company","CZ","2021-06-18","complete"
7,"Eta Services PL","company","PL","2020-11-05","complete"
8,"Theta Solutions HU","company","HU","2023-02-12","incomplete"
9,"Iota Export CZ","company","CZ","2021-12-03","complete"
10,"Kappa Distribution SK","company","SK","2022-05-27","complete"
11,"Lambda Trade CZ","company","CZ","2020-08-16","complete"
12,"Mu Industries DE","company","DE","2021-09-22","complete"
13,"Nu Systems CZ","company","CZ","2023-01-10","incomplete"
14,"Xi Consulting AT","company","AT","2021-04-07","complete"
15,"Omicron Global CZ","company","CZ","2022-03-13","complete"
16,"Pi Manufacturing PL","company","PL","2020-12-19","complete"
17,"Rho Tech CZ","company","CZ","2023-05-02","complete"
18,"Sigma Transport SK","company","SK","2021-10-25","complete"
19,"Tau Services CZ","company","CZ","2022-07-14","complete"
20,"Upsilon Group HU","company","HU","2020-09-03","incomplete"
21,"Phoenix Trade CZ","company","CZ","2021-02-17","complete"
22,"Orion Logistics DE","company","DE","2022-06-20","complete"
23,"Atlas Consulting CZ","company","CZ","2023-03-29","complete"
24,"Horizon Market SK","company","SK","2021-11-08","complete"
25,"Nova Retail CZ","company","CZ","2020-06-13","complete"
26,"Vector Export AT","company","AT","2022-10-01","complete"
27,"Helios Import CZ","company","CZ","2021-07-15","complete"
28,"Zenith Trade PL","company","PL","2020-10-27","complete"
29,"Aurora Systems CZ","company","CZ","2023-04-22","incomplete"
30,"Vertex Logistics HU","company","HU","2022-08-09","complete"
31,"Polaris Services CZ","company","CZ","2021-03-04","complete"
32,"Neptune Group SK","company","SK","2022-12-14","complete"
33,"Cosmos Consulting CZ","company","CZ","2020-07-30","complete"
34,"Atlas Export DE","company","DE","2023-02-01","complete"
35,"Everest Import CZ","company","CZ","2021-05-18","complete"
36,"Olympus Trade AT","company","AT","2022-11-23","complete"
37,"Galaxy Market CZ","company","CZ","2020-04-12","complete"
38,"Stellar Logistics PL","company","PL","2021-08-06","complete"
39,"Quantum Retail CZ","company","CZ","2022-02-28","complete"
40,"Velocity Systems HU","company","HU","2023-01-19","incomplete"
41,"Dynamic Services CZ","company","CZ","2021-06-30","complete"
42,"Prime Distribution SK","company","SK","2022-09-12","complete"
43,"Apex Consulting CZ","company","CZ","2020-12-01","complete"
44,"Crystal Trade DE","company","DE","2023-03-05","complete"
45,"Frontier Export CZ","company","CZ","2021-01-26","complete"
46,"Global Import AT","company","AT","2022-04-18","complete"
47,"Insight Market CZ","company","CZ","2020-09-17","complete"
48,"Future Logistics PL","company","PL","2023-05-11","complete"
49,"Pinnacle Systems CZ","company","CZ","2021-10-09","complete"
50,"Bridge Services SK","company","SK","2022-07-07","incomplete"
